four____,_______1,omaSj8Kh68e1MmismeOP0lrWnbPT7DoNMLHgefytL30sC82U9tqxpFKmH4PJRWo
one_____,_______2,lFTiDR58aqFJw4R9yNJ7IdhkeiH19zd9FOSh8dbcS6oNT891sj0sQ55L1n
three___,_______3,O8fVgTuFUcNjs50z4Un9JfKO0DGwuguPeD75amSuis
three___,_______4,z9LUB5yCRxZ0ruCIRbjTbx4n3ulWPRj7E6dt5XGfL5Efrx
three___,_______5,uyO5KphkVy5HUgSpFMocIcENeHFBmKjx0MwpLXiQzLBhn9C2av0ocg
zero____,_______6,Ne1gckys90hhMRUJZ2IvXGLW1ns94vfyhKKH
four____,_______7,g5Lw3eO2zUJi7xhfbvCnchgEyfduevXeUg5bHuBQHRSizksxh4jOtxsi2
zero____,_______8,cGABtclqbnwmizNInyJR72wMQLbVZsw1rLUvLzIIwb83Cun
three___,_______9,VeLcDHLXXoDTvlTcFI1QziAyUElMpEdSHOcksh8ZetW0ECNR3jVkl6Tdcz9do
two_____,______10,OnOD9iB0cv0ghCGzEKfXWXgDjDG3WWvBRXVvTLWiqmnAVv
one_____,______11,YYKRhCCaa6msUZYHVz3c4PSBw8E9M1TGoRszPeOS7NhJDIUqpmPEr
zero____,______12,RNei4wLpy1D6HOos5RZl6N7a5WGwGBpwldUveIjF
one_____,______13,Faj8WhImiCafE57djMYCzmAgbyk6vNZqs0xF2jjCT
one_____,______14,YzRvEqwaXBCXC85sqxt1B8odZ19fdLmaF4pmZcrpoXzvIMuV
three___,______15,Ow0W2IIpY03iXl9k5pqveiNWGhkQDRtHfHWPR4YQnwpgSMxWuV3uQk
two_____,______16,hNGROvLxtYpZ4FlS9HeZ8BQjPEJQq08BjppTouRAonYOWkI0mx8lKOFjwYcZ
four____,______17,sD7rL8a66GpY7sDZEE40FNIOu3shKpFmHM7XpykMBE4YnBcHNr9
four____,______18,upOkrYvcnjcLSbRCQClBT69VMfmTEflAYW
zero____,______19,5bT5x1RCeUbch7FFOebtkLkcB5vAYQMacDt75xqgF
one_____,______20,l3StcfULZT3Mm273YjBPO3RlZ0kQCZPRpi4qGz4va7lBN
four____,______21,WxbOaolMl00G8i5SXEhc5UJqTAcpf5ayZVUN
zero____,______22,BThNdJH0jBvw9gvdHubIFWZLVBK7Z4bXKzSbgJ3
zero____,______23,IAkzy4fDgktHKs9ElW98mg4QVh8YJ4kX0FRQlwC33gMz7UixHWTHr
three___,______24,8iYpnJ4Gr2xT6cDWp7aFw6bj9kxctTGCsAY6YQsgJcKkIR
zero____,______25,ShQ6ak3YHcRbV4vG3Wk8wAlTRymSQVzXto5BSevgWsOU
four____,______26,strGPVT1Aw9TLlORwi1FYnJqSjbpIxpyQ9zEsLFzPSyQSM69LwR
three___,______27,lPx2rDrxQTSirA5nsFxNHXzszv0gbcXQclTJgcLYUKgRFDo
zero____,______28,uE0wsCBFhWp0MoI22CjhKGWx7qY0ibrlH3PKlE010M0jQxKdPWGts3tj5eZ8
four____,______29,z5vkP3uFmJASeXApfh2peFqkVAhjkg5myw0XkXrZEJqNZiH6RBJuOAQpa9illWF
three___,______30,AoloKJPjX85jG9c9ge40xWugJdBC7Q9PUVTNqcTPzVPwMIiaG5lui
zero____,______31,93kMQj62Yd52hicDOhQwC7ohiBCNzz0tlCLlN410ZfvXjJpj
three___,______32,QAmxWThcoqXgrqsQ4hNJ8EGf0FM9pjsDP1XQpCcquIQL3eNNnxs3kh2X
three___,______33,b4JqOWhAWjKOVqVoD7klk3PU7z8qFV2EoqkdehCdGPt0yHPEwjA0Hk4ibEmBA
two_____,______34,pBYL8mAodFSSHcKczW7rDT1odDT2hir5AOccOf
two_____,______35,ExhxYhIRvfL5hLLp79K7yM1T89h1DBhgp5OjX
zero____,______36,i6ok2A15VYT91F1mwQYQ5C28FAmt2vmr5FwB5qmBU2kGa4l35ejgII
one_____,______37,4t9pFoiwlBiDXgy1zi1I5VeFN0885T3IieMcr5kSW1tI1Ed9pjHnokM36Xz
four____,______38,yO3en8w9eC9QeSYfUI0xjkrWiu4Vfm0EVQxVrW6bLVpoG1PmwuzsoOa8i
two_____,______39,rBIyx3PMwv8RnDgB1yBVJyvEwYqCtc049S4oZH
three___,______40,Docy28yYYxObkRFCTsZJKr87ncibFlBsdNwbJgrwFB8JzNJW
four____,______41,CnzzCjxvl1X5VnMgpT7D59Mj2W1VHirjgN6fH
zero____,______42,NngnwyWD7BaWVmK9VZdA01C0UmEYFcr4KQP2YL06wUhI0uux3jFdLK
one_____,______43,5goolD1fwwThuaE9ajvyJ6m6nmWeagWyK
zero____,______44,TTychn7HYvjeWGo1w2DACLcsyQR7umFYLKFOCWLUB4qU
zero____,______45,uLR2921i8n8ze6JeFkBk6T9fRREinQefxcLdt
three___,______46,0lQI0shTCA6rWtwNUdOWEq74tmE1WWaDEtVDTObS7J9FonbJKvIJw6pgrf7pSMz
two_____,______47,qL8APmF3VlGSzbXh2r0EpAGxGZD862pD9JuaHMTrHWQFqKecPkwslo
one_____,______48,HNp4ymS8lcuAcSGyXbClTXdDXRNRIHx54XkqVzH5z9fsvInjM42fYVMNLZF7XsXR
four____,______49,TmNz2wQpDU2RbEkVprxcfHJDeqPTNbj0tdu4m
three___,______50,wYyJFBctKsYPGV5UI6zVlbTq2a6gwvxb
four____,______51,Pm3CisxyERr5PZBLYWTXrFbOI4Do4bPDHG6xxurp
