0,-1,four____,_______1,omaSj8Kh68e1MmismeOP0lrWnbPT7DoNMLHgefytL30sC82U9tqxpFKmH4PJRWo
0,-1,one_____,_______2,lFTiDR58aqFJw4R9yNJ7IdhkeiH19zd9FOSh8dbcS6oNT891sj0sQ55L1n
0,-1,three___,_______3,O8fVgTuFUcNjs50z4Un9JfKO0DGwuguPeD75amSuis
0,-1,three___,_______4,z9LUB5yCRxZ0ruCIRbjTbx4n3ulWPRj7E6dt5XGfL5Efrx
0,-1,three___,_______5,uyO5KphkVy5HUgSpFMocIcENeHFBmKjx0MwpLXiQzLBhn9C2av0ocg
0,-1,zero____,_______6,Ne1gckys90hhMRUJZ2IvXGLW1ns94vfyhKKH
0,-1,four____,_______7,g5Lw3eO2zUJi7xhfbvCnchgEyfduevXeUg5bHuBQHRSizksxh4jOtxsi2
0,-1,zero____,_______8,cGABtclqbnwmizNInyJR72wMQLbVZsw1rLUvLzIIwb83Cun
0,-1,three___,_______9,VeLcDHLXXoDTvlTcFI1QziAyUElMpEdSHOcksh8ZetW0ECNR3jVkl6Tdcz9do
0,-1,two_____,______10,OnOD9iB0cv0ghCGzEKfXWXgDjDG3WWvBRXVvTLWiqmnAVv
0,-1,one_____,______11,YYKRhCCaa6msUZYHVz3c4PSBw8E9M1TGoRszPeOS7NhJDIUqpmPEr
0,-1,zero____,______12,RNei4wLpy1D6HOos5RZl6N7a5WGwGBpwldUveIjF
0,-1,one_____,______13,Faj8WhImiCafE57djMYCzmAgbyk6vNZqs0xF2jjCT
0,-1,one_____,______14,YzRvEqwaXBCXC85sqxt1B8odZ19fdLmaF4pmZcrpoXzvIMuV
0,-1,three___,______15,Ow0W2IIpY03iXl9k5pqveiNWGhkQDRtHfHWPR4YQnwpgSMxWuV3uQk
0,-1,two_____,______16,hNGROvLxtYpZ4FlS9HeZ8BQjPEJQq08BjppTouRAonYOWkI0mx8lKOFjwYcZ
0,-1,four____,______17,sD7rL8a66GpY7sDZEE40FNIOu3shKpFmHM7XpykMBE4YnBcHNr9
0,-1,four____,______18,upOkrYvcnjcLSbRCQClBT69VMfmTEflAYW
0,-1,zero____,______19,5bT5x1RCeUbch7FFOebtkLkcB5vAYQMacDt75xqgF
0,-1,one_____,______20,l3StcfULZT3Mm273YjBPO3RlZ0kQCZPRpi4qGz4va7lBN
0,-1,four____,______21,WxbOaolMl00G8i5SXEhc5UJqTAcpf5ayZVUN
0,-1,zero____,______22,BThNdJH0jBvw9gvdHubIFWZLVBK7Z4bXKzSbgJ3
0,-1,zero____,______23,IAkzy4fDgktHKs9ElW98mg4QVh8YJ4kX0FRQlwC33gMz7UixHWTHr
0,-1,three___,______24,8iYpnJ4Gr2xT6cDWp7aFw6bj9kxctTGCsAY6YQsgJcKkIR
0,-1,zero____,______25,ShQ6ak3YHcRbV4vG3Wk8wAlTRymSQVzXto5BSevgWsOU
0,-1,four____,______26,strGPVT1Aw9TLlORwi1FYnJqSjbpIxpyQ9zEsLFzPSyQSM69LwR
0,-1,three___,______27,lPx2rDrxQTSirA5nsFxNHXzszv0gbcXQclTJgcLYUKgRFDo
0,-1,zero____,______28,uE0wsCBFhWp0MoI22CjhKGWx7qY0ibrlH3PKlE010M0jQxKdPWGts3tj5eZ8
