table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,tx_type_raw,is_untimed_prime,is_actual_build,trial,case
naive,No Repair,0,0,InitLoad,2.9205,210000.0,,,,,InitLoad,False,False,0,history1
naive,No Repair,1,1,BuildSnap,0.0,,1.0,,,,MarkTs,False,False,0,history1
naive,No Repair,2,2,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,3,3,BuildSnap,0.0,,3.0,,,,MarkTs,False,False,0,history1
naive,No Repair,4,4,BuildSnap,161.480542,,4.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,4,4,RecentScan,59.459167,,4.0,,,,RecentScan,False,False,0,history1
naive,No Repair,5,5,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,6,6,BuildSnap,161.871458,,6.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,6,6,RecentScan,57.988125,,6.0,,,,RecentScan,False,False,0,history1
naive,No Repair,7,7,BuildSnap,167.96425,,1.0,,,HistoryScan,MarkTs,True,False,0,history1
naive,No Repair,7,7,HistoryScan,62.763834,,1.0,,,,HistoryScan,True,False,0,history1
naive,No Repair,8,8,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,9,9,BuildSnap,0.0,,9.0,,,,MarkTs,False,False,0,history1
naive,No Repair,10,10,BuildSnap,169.576667,,3.0,,,HistoryScan,MarkTs,False,True,0,history1
naive,No Repair,10,10,HistoryScan,61.335083,,3.0,,,,HistoryScan,False,False,0,history1
naive,No Repair,11,11,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,12,12,BuildSnap,175.109959,,9.0,,,HistoryScan,MarkTs,False,True,0,history1
naive,No Repair,12,12,HistoryScan,60.382917,,9.0,,,,HistoryScan,False,False,0,history1
naive,No Repair,13,13,HistoryScan,60.086666,,1.0,,,,HistoryScan,False,False,0,history1
naive,No Repair,14,14,Probe,246.159834,2100.0,3.0,,,,Probe,False,False,0,history1
naive,No Repair,15,15,GbgCollect,0.084042,,1.0,,,,GbgCollect,False,False,0,history1
naive,No Repair,16,16,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,17,17,BuildSnap,0.0,,17.0,,,,MarkTs,False,False,0,history1
naive,No Repair,18,18,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,19,19,BuildSnap,163.6655,,17.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,19,19,Probe,250.626375,2100.0,17.0,,,,Probe,False,False,0,history1
naive,No Repair,20,20,BuildSnap,173.740083,,20.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,20,20,RecentScan,65.300542,,20.0,,,,RecentScan,False,False,0,history1
naive,No Repair,21,21,BuildSnap,169.825458,,21.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,21,21,RecentScan,65.274792,,21.0,,,,RecentScan,False,False,0,history1
naive,No Repair,22,22,BuildSnap,174.837292,,22.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,22,22,RecentScan,63.873958,,22.0,,,,RecentScan,False,False,0,history1
naive,No Repair,23,23,BuildSnap,168.993,,23.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,23,23,Probe,263.983625,2100.0,23.0,,,,Probe,False,False,0,history1
naive,No Repair,24,24,BuildSnap,171.304833,,24.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,24,24,Probe,293.77,2100.0,24.0,,,,Probe,False,False,0,history1
naive,No Repair,25,25,BuildSnap,168.324875,,25.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,25,25,Probe,265.331666,2100.0,25.0,,,,Probe,False,False,0,history1
naive,No Repair,26,26,BuildSnap,167.972667,,26.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,26,26,RecentScan,65.639875,,26.0,,,,RecentScan,False,False,0,history1
naive,No Repair,27,27,BuildSnap,172.176,,27.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,27,27,Probe,284.140542,2100.0,27.0,,,,Probe,False,False,0,history1
naive,No Repair,28,28,GbgCollect,0.111875,,3.0,,,,GbgCollect,False,False,0,history1
naive,No Repair,29,29,BuildSnap,171.104042,,29.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,29,29,RecentScan,63.816667,,29.0,,,,RecentScan,False,False,0,history1
naive,No Repair,30,30,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,31,31,BuildSnap,0.0,,31.0,,,,MarkTs,False,False,0,history1
naive,No Repair,32,32,BuildSnap,175.017792,,32.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,32,32,Probe,248.893291,2100.0,32.0,,,,Probe,False,False,0,history1
naive,No Repair,33,33,BuildSnap,172.747541,,33.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,33,33,Probe,284.164667,2100.0,33.0,,,,Probe,False,False,0,history1
naive,No Repair,34,34,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,35,35,BuildSnap,175.1385,,35.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,35,35,RecentScan,69.134667,,35.0,,,,RecentScan,False,False,0,history1
naive,No Repair,36,36,BuildSnap,170.045459,,36.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,36,36,RecentScan,66.382541,,36.0,,,,RecentScan,False,False,0,history1
naive,No Repair,37,37,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,38,38,BuildSnap,0.0,,38.0,,,,MarkTs,False,False,0,history1
naive,No Repair,39,39,GbgCollect,0.283375,,9.0,,,,GbgCollect,False,False,0,history1
naive,No Repair,40,40,BuildSnap,172.207291,,40.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,40,40,Probe,243.539292,2100.0,40.0,,,,Probe,False,False,0,history1
naive,No Repair,41,41,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,42,42,BuildSnap,165.881625,,42.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,42,42,RecentScan,64.5635,,42.0,,,,RecentScan,False,False,0,history1
naive,No Repair,43,43,BuildSnap,173.597583,,43.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,43,43,Probe,234.225708,2100.0,43.0,,,,Probe,False,False,0,history1
naive,No Repair,44,44,BuildSnap,169.213208,,44.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,44,44,Probe,256.474459,2100.0,44.0,,,,Probe,False,False,0,history1
naive,No Repair,45,45,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,46,46,BuildSnap,0.0,,46.0,,,,MarkTs,False,False,0,history1
naive,No Repair,47,47,BuildSnap,165.0375,,47.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,47,47,Probe,244.506666,2100.0,47.0,,,,Probe,False,False,0,history1
naive,No Repair,48,48,BuildSnap,165.701583,,48.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,48,48,RecentScan,64.733084,,48.0,,,,RecentScan,False,False,0,history1
naive,No Repair,49,49,BuildSnap,164.679167,,49.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,49,49,RecentScan,64.179916,,49.0,,,,RecentScan,False,False,0,history1
naive,No Repair,50,50,BuildSnap,167.911416,,50.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,50,50,Probe,259.614459,2100.0,50.0,,,,Probe,False,False,0,history1
naive,No Repair,51,51,BuildSnap,176.3855,,51.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,51,51,RecentScan,66.462292,,51.0,,,,RecentScan,False,False,0,history1
naive,No Repair,52,52,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,53,53,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,54,54,BuildSnap,0.0,,54.0,,,,MarkTs,False,False,0,history1
naive,No Repair,55,55,BuildSnap,162.603375,,55.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,55,55,RecentScan,67.100833,,55.0,,,,RecentScan,False,False,0,history1
naive,No Repair,56,56,Update,0.0,21.0,,,,,Update,False,False,0,history1
naive,No Repair,57,57,BuildSnap,166.290834,,57.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,57,57,Probe,258.201125,2100.0,57.0,,,,Probe,False,False,0,history1
naive,No Repair,58,58,BuildSnap,180.557667,,58.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,58,58,RecentScan,64.012042,,58.0,,,,RecentScan,False,False,0,history1
naive,No Repair,59,59,BuildSnap,168.550792,,59.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,59,59,Probe,398.8765,2100.0,59.0,,,,Probe,False,False,0,history1
naive,No Repair,60,60,BuildSnap,180.160166,,60.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,60,60,RecentScan,68.021334,,60.0,,,,RecentScan,False,False,0,history1
naive,No Repair,61,61,BuildSnap,178.429291,,61.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,61,61,RecentScan,69.031792,,61.0,,,,RecentScan,False,False,0,history1
naive,No Repair,62,62,BuildSnap,181.138042,,62.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,62,62,Probe,235.528708,2100.0,62.0,,,,Probe,False,False,0,history1
naive,No Repair,63,63,BuildSnap,184.080625,,63.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,63,63,Probe,263.490208,2100.0,63.0,,,,Probe,False,False,0,history1
naive,No Repair,64,64,BuildSnap,182.457417,,64.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,64,64,Probe,260.615041,2100.0,64.0,,,,Probe,False,False,0,history1
naive,No Repair,65,65,BuildSnap,198.392,,65.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,65,65,Probe,236.630792,2100.0,65.0,,,,Probe,False,False,0,history1
naive,No Repair,66,66,GbgCollect,0.084333,,17.0,,,,GbgCollect,False,False,0,history1
naive,No Repair,67,67,BuildSnap,204.272917,,67.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,67,67,Probe,258.990125,2100.0,67.0,,,,Probe,False,False,0,history1
naive,No Repair,68,68,BuildSnap,207.3255,,68.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,68,68,RecentScan,85.635875,,68.0,,,,RecentScan,False,False,0,history1
naive,No Repair,69,69,BuildSnap,235.386083,,69.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,69,69,Probe,273.74675,2100.0,69.0,,,,Probe,False,False,0,history1
naive,No Repair,70,70,BuildSnap,219.956833,,70.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,70,70,RecentScan,90.231958,,70.0,,,,RecentScan,False,False,0,history1
naive,No Repair,71,71,BuildSnap,210.722416,,71.0,,,Probe,MarkTs,False,True,0,history1
naive,No Repair,71,71,Probe,270.065792,2100.0,71.0,,,,Probe,False,False,0,history1
naive,No Repair,72,72,BuildSnap,220.022125,,72.0,,,RecentScan,MarkTs,False,True,0,history1
naive,No Repair,72,72,RecentScan,80.89375,,72.0,,,,RecentScan,False,False,0,history1
