scan_reuse_ratio,table_type,repair_type,speed_ratio_over_naive
0.0,chain,Write Repair,2.335126972704599
0.0,heap,No Repair,1.7027587757165235
0.0,heap,Read Repair,1.9191482096797576
0.0,heap,Write Repair,2.0882348747420676
0.0,par,No Repair,2.5357006971697817
0.0,par,Read Repair,3.1488535503659745
0.0,par,Write Repair,3.589130607044986
0.20,par,Write Repair,3.0314675365989876
0.20,par,Read Repair,2.764789721227603
0.20,par,No Repair,2.2271408089059426
0.20,heap,No Repair,1.5696901209069325
0.20,heap,Read Repair,1.7643750051974822
0.20,chain,Write Repair,2.092877527877286
0.20,heap,Write Repair,1.9537737575277938
0.40,par,No Repair,2.124074395133701
0.40,par,Read Repair,2.6050908591016824
0.40,heap,Write Repair,1.847776681613666
0.40,par,Write Repair,2.920190905958411
0.40,heap,No Repair,1.4164594658289527
0.40,chain,Write Repair,1.966676623904286
0.40,heap,Read Repair,1.6582358844107357
0.60,chain,Write Repair,1.7177295955086598
0.60,heap,No Repair,1.329025287667651
0.60,heap,Read Repair,1.5084920489035556
0.60,heap,Write Repair,1.580155285347115
0.60,par,No Repair,1.8680987066882322
0.60,par,Read Repair,2.2043004073452024
0.60,par,Write Repair,2.75228123345051
0.80,par,Write Repair,2.6579287714415094
0.80,par,Read Repair,2.2522947168070386
0.80,par,No Repair,1.7476189321690645
0.80,heap,No Repair,1.1654063899018385
0.80,heap,Read Repair,1.4387999979954893
0.80,chain,Write Repair,1.6162603391591799
0.80,heap,Write Repair,1.5557131513727633
0.99,par,Read Repair,2.3232563321201822
0.99,chain,Write Repair,1.5610219390806896
0.99,heap,No Repair,1.1474105119541445
0.99,heap,Read Repair,1.3960919972238124
0.99,heap,Write Repair,1.4440080702727829
0.99,par,No Repair,1.731139772941082
0.99,par,Write Repair,2.631019001940463
