update_ratio,table_type,repair_type,speed_ratio_over_naive
0.009701492537313436,chain,Write Repair,1.799385978854704
0.009701492537313436,heap,No Repair,1.3107151412401121
0.009701492537313436,heap,Read Repair,1.4315554196597338
0.009701492537313436,heap,Write Repair,1.7358195923519637
0.009701492537313436,par,No Repair,1.8601333400553992
0.009701492537313436,par,Read Repair,2.0106965367694443
0.009701492537313436,par,Write Repair,2.8373262683238694
0.04850746268656718,chain,Write Repair,1.7026922347677433
0.04850746268656718,heap,No Repair,1.309069354325627
0.04850746268656718,heap,Read Repair,1.3793582376239348
0.04850746268656718,heap,Write Repair,1.6455295927919442
0.04850746268656718,par,No Repair,1.842961525108453
0.04850746268656718,par,Read Repair,1.9659223322643666
0.04850746268656718,par,Write Repair,2.8216846663002495
0.09701492537313436,chain,Write Repair,1.6538762053641372
0.09701492537313436,heap,No Repair,1.2016541216286225
0.09701492537313436,heap,Read Repair,1.3419009385121419
0.09701492537313436,heap,Write Repair,1.6020752248055103
0.09701492537313436,par,No Repair,1.79939804575064
0.09701492537313436,par,Read Repair,1.808572373503479
0.09701492537313436,par,Write Repair,2.6596813855948986
0.14552238805970152,chain,Write Repair,1.5857473107167654
0.14552238805970152,heap,No Repair,1.2166134674556088
0.14552238805970152,heap,Read Repair,1.3022516742333554
0.14552238805970152,heap,Write Repair,1.5414100317207862
0.14552238805970152,par,No Repair,1.803955267240614
0.14552238805970152,par,Read Repair,1.9710402859597311
0.14552238805970152,par,Write Repair,2.706369450950476
0.19402985074626872,chain,Write Repair,1.5513914175648298
0.19402985074626872,heap,No Repair,1.1936626726395931
0.19402985074626872,heap,Read Repair,1.289184228703442
0.19402985074626872,heap,Write Repair,1.5564047019888718
0.19402985074626872,par,No Repair,1.7299836701824416
0.19402985074626872,par,Read Repair,1.779394585394591
0.19402985074626872,par,Write Repair,2.36019161070853
