141233|56066.12|0.10
189280|36970.56|0.06
90027|17289.34|0.06
64367|35946.72|0.04
145484|50472.84|0.09
4967|28079.40|0.09
65736|42543.25|0.01
134380|39602.64|0.08
103730|48544.44|0.10
141746|75085.08|0.04
153317|54812.40|0.05
3763|23334.64|0.09
2357|7556.10|0.02
144071|20071.26|0.03
152242|44004.16|0.09
176651|24187.10|0.07
135500|55278.00|0.02
96155|12662.65|0.00
153468|48686.72|0.06
80426|1406.42|0.03
182641|63774.68|0.08
164350|50916.60|0.06
10805|68632.00|0.03
120863|92309.14|0.07
106952|21548.45|0.03
191146|49485.60|0.00
125866|66215.10|0.08
151577|27685.69|0.02
27216|16004.94|0.05
600|58523.40|0.06
112918|38618.20|0.01
167098|30292.34|0.01
58579|75340.93|0.05
180536|59811.61|0.02
78262|47129.88|0.06
21650|25146.40|0.02
56266|37890.06|0.07
69541|22658.10|0.02
76369|18835.04|0.05
167621|67544.80|0.01
144151|2390.30|0.08
62597|7797.95|0.03
142554|51089.60|0.02
105937|50516.18|0.06
176731|14461.84|0.02
190169|40293.12|0.00
71644|46853.56|0.02
121075|48227.08|0.04
197869|57038.94|0.08
13637|15506.30|0.07
66543|42267.12|0.03
133741|44368.50|0.04
152611|63217.18|0.02
149792|66304.44|0.09
63625|38126.88|0.09
136075|27776.75|0.03
161898|17639.01|0.10
16804|67111.20|0.05
80554|39898.30|0.00
84525|4528.56|0.00
11513|59829.42|0.07
4466|64411.62|0.02
130728|3517.44|0.00
190796|7547.16|0.04
132411|66396.86|0.09
59246|7231.44|0.10
94240|11108.16|0.06
137582|51826.56|0.05
6613|39509.86|0.05
21290|2422.58|0.03
95654|31343.35|0.01
55224|21225.96|0.08
185904|27858.60|0.02
189949|65246.08|0.02
152417|35265.84|0.01
108201|14510.40|0.00
185086|8197.56|0.08
172259|47925.00|0.01
119878|34161.66|0.10
53334|60504.51|0.09
129679|70055.47|0.10
198255|55483.25|0.06
136223|13851.42|0.07
158004|43542.00|0.03
72472|1444.47|0.02
8694|62504.91|0.00
7429|48111.12|0.08
4518|9957.57|0.00
160406|33727.20|0.02
148343|59827.62|0.08
57608|68886.40|0.08
81964|52540.92|0.01
6019|38850.42|0.06
33318|40041.92|0.08
177442|33427.68|0.05
126525|58957.76|0.05
87469|7282.30|0.02
106807|12696.60|0.07
67394|43564.48|0.03
132934|13768.51|0.00
152648|71426.88|0.02
27506|18635.50|0.06
71350|5285.40|0.10
112036|22008.63|0.10
82253|55586.25|0.02
60017|20517.21|0.06
145584|74960.68|0.08
117371|45816.21|0.04
125560|55494.60|0.04
76244|53690.56|0.06
12297|24185.80|0.06
67734|10210.38|0.07
187789|41289.16|0.07
91157|3444.45|0.06
21063|17713.08|0.02
78768|57643.08|0.06
126792|3637.58|0.06
159626|13484.96|0.02
124462|66890.70|0.07
143919|3925.82|0.10
186362|60831.12|0.04
109434|56293.77|0.08
134464|43455.34|0.04
19226|40082.70|0.01
191226|17123.86|0.06
151449|72021.12|0.02
156091|18353.44|0.10
146662|32464.54|0.02
133339|41169.90|0.03
149967|98831.04|0.05
17528|59266.32|0.04
191542|57173.90|0.08
119547|62661.60|0.03
50145|20807.66|0.07
71701|68580.70|0.07
23820|15694.38|0.08
56135|3273.39|0.10
48578|71748.79|0.06
187665|17526.60|0.00
100404|21066.00|0.08
150125|54055.52|0.05
113842|37116.80|0.08
48807|45650.80|0.02
90736|56982.09|0.02
176872|97443.50|0.07
58748|66562.86|0.02
55367|25124.84|0.01
112728|12185.04|0.08
170531|67264.26|0.09
167559|30904.45|0.01
166289|18973.92|0.09
89323|17060.16|0.01
112104|18973.70|0.07
98944|64117.02|0.03
130986|44373.56|0.02
82940|69225.84|0.09
90039|43219.26|0.01
126491|47042.19|0.09
103109|54492.90|0.06
57061|29523.74|0.06
56006|35594.00|0.05
139710|61239.85|0.03
116356|61755.75|0.05
145801|20314.80|0.09
42532|72251.97|0.01
58445|65961.68|0.06
53119|42884.40|0.04
135960|47903.04|0.03
19475|34861.75|0.08
71000|20391.00|0.08
77952|90707.65|0.05
195565|26568.96|0.00
144164|2416.32|0.06
126487|37837.00|0.00
123741|82942.78|0.08
33289|48891.20|0.09
133572|61011.66|0.07
3287|15473.64|0.03
42756|52661.25|0.10
173458|64320.90|0.01
33914|36958.20|0.08
168920|27844.88|0.08
78411|19451.74|0.05
102534|3073.06|0.00
148394|57695.60|0.03
67558|57970.90|0.09
60125|3255.36|0.01
29300|6146.50|0.03
122495|40972.23|0.03
106739|34914.60|0.10
40602|16968.60|0.03
36850|32163.30|0.04
123|3069.36|0.07
49387|37418.64|0.05
127797|52918.91|0.08
185757|3685.50|0.08
88508|10475.50|0.01
159657|18883.15|0.06
194572|23331.98|0.03
184434|31887.03|0.05
66308|26760.30|0.08
74703|10066.20|0.01
53526|2959.04|0.07
16033|30368.96|0.10
105758|56440.00|0.01
108032|19760.57|0.02
54790|33151.01|0.06
139379|11346.96|0.00
188682|37184.28|0.01
192924|100846.00|0.06
153901|46917.60|0.01
157466|6093.84|0.02
134925|86236.48|0.03
35673|70781.48|0.10
179334|48053.22|0.07
179024|28678.52|0.10
142254|27221.25|0.05
19887|45172.00|0.09
100576|59909.66|0.01
31659|17497.15|0.05
119557|44143.40|0.01
96419|60862.63|0.09
87672|73025.48|0.08
97586|25337.28|0.07
21859|80138.25|0.08
172422|56787.96|0.04
126984|76417.24|0.06
171648|67065.96|0.08
46643|79482.00|0.03
74668|6570.64|0.03
105580|3171.16|0.10
27642|73773.08|0.03
165048|6678.24|0.00
39279|47512.53|0.09
157692|68237.91|0.05
11614|47293.91|0.02
16520|24420.84|0.03
72829|52252.78|0.01
198863|29427.90|0.08
89910|87395.86|0.07
128018|10460.10|0.07
29727|19880.64|0.04
100103|55155.00|0.07
156056|48930.20|0.08
51108|2118.20|0.05
94456|50765.75|0.00
144816|26051.34|0.05
156937|57823.97|0.10
22105|15406.50|0.03
106898|70480.93|0.10
130121|48347.04|0.08
157462|9116.76|0.01
162353|36799.10|0.04
131115|2292.22|0.10
190933|87028.99|0.06
193514|36972.73|0.03
142818|52102.68|0.02
85423|28168.40|0.06
98743|50510.46|0.07
193498|17506.39|0.05
72681|18190.48|0.08
19174|49192.65|0.05
95226|17097.08|0.09
64044|2016.08|0.02
133269|61206.22|0.01
198882|99044.00|0.05
75435|15514.73|0.05
87558|37093.20|0.04
29515|46224.32|0.07
199778|75110.80|0.02
140535|39388.25|0.09
16547|60005.14|0.05
196621|17176.20|0.04
110311|3963.93|0.03
176146|42774.90|0.08
110562|28306.08|0.08
41216|17358.15|0.02
94229|45259.14|0.00
131441|57425.16|0.06
14518|31515.22|0.00
120710|25960.65|0.07
25058|6881.35|0.06
124002|4104.00|0.01
38931|44878.32|0.07
40117|32770.41|0.04
189347|41653.86|0.04
45903|31431.30|0.00
170965|73294.56|0.06
5432|33435.75|0.01
15591|37664.75|0.02
153014|30943.29|0.04
62320|23081.76|0.00
113930|95252.57|0.07
87743|48460.72|0.10
138240|56242.56|0.02
45086|43305.36|0.08
80455|24402.65|0.00
131308|18750.20|0.06
26177|23166.57|0.08
48861|70584.54|0.10
187217|26084.20|0.06
172651|36196.65|0.07
17643|26530.88|0.09
156855|47796.25|0.06
